lang	filename	speaker	gend	item	inform	itemdur	f0md	f0mn	f0sd	f0hzq05	f0hzq95	f0stq05	f0stq95	f0strange	intmd	intmn	intsd
Japanese	F_ppt_14_4_cas	JF14	female	I4	inform	3.631700680272109	240.57923678545038	247.79337618919297	32.023068105184386	198.58093383132717	296.20285614072935	91.60297149363905	98.52529600749922	6.922324513860175	68.8611457992642	73.82232514422168	13.787335610540493
Japanese	F_ppt_14_4_pol	JF14	female	I4	pol	9.382607709750566	225.85940515416206	232.25271896435027	22.334273506659407	204.49416707962357	274.53322912311086	92.11098928635617	97.21004339018216	5.099054103825992	64.54765567281056	68.92103941950755	14.5376749347633
Japanese	F_ppt_14_5_cas	JF14	female	I5	inform	15.821655328798187	241.60219506287544	244.2771170956472	28.427671971544452	206.93246166267363	292.903050627611	92.31619389421326	98.3313514416021	6.015157547388839	65.90423403429428	71.97476721836951	15.936739858764566
Japanese	F_ppt_14_5_pol	JF14	female	I5	pol	16.336780045351475	239.2625963742058	248.51437597701806	32.549529757260196	206.8964646816474	314.1751205689644	92.31318072945464	99.54509851348367	7.231917784029022	65.9626499756001	70.6802266250454	15.096736754315188
Japanese	F_ppt_14_6_cas	JF14	female	I6	inform	3.346643990929705	265.9383156621957	266.33727214340774	21.642936851579613	231.73472705870196	299.1132805346078	94.2759285622736	98.69457027811764	4.418641715844032	74.30746171576268	75.31085918830863	15.605574334367455
Japanese	F_ppt_14_6_pol	JF14	female	I6	pol	4.337006802721088	258.9767140211255	255.34499485249088	21.432162319087528	219.39782057510078	290.30958048875755	93.32886460423805	98.17737293210652	4.848508327868473	67.27978727321981	72.33965296134046	13.977483508640049
Japanese	F_ppt_17_1_cas	JF17	female	I1	inform	8.944648526077097	183.81158247866267	183.69903795407947	24.988766315918898	154.5095946067754	219.3822430430436	87.25862081924996	93.32763006897355	6.069009249723592	53.95075846656474	58.61641911579811	10.991012287919357
Japanese	F_ppt_17_2_cas	JF17	female	I2	inform	3.905260770975057	168.6932003106906	171.16880808139192	16.005258101279612	155.40708005054273	194.00258125746953	87.35890105746661	91.19918445320901	3.8402833957424036	46.845643187989495	52.46739097135556	9.398384006562223
Japanese	F_ppt_17_2_pol	JF17	female	I2	pol	7.340952380952381	170.62610289137874	177.2370297763415	40.4692955825175	152.94943257395886	195.25890583117547	87.08292438157727	91.31088553007314	4.227961148495865	47.992439558465094	52.297806922458534	8.517372712470852
Japanese	F_ppt_17_3_cas	JF17	female	I3	inform	1.7091156462585033	191.62414071445156	200.26023273392514	37.9337707644114	171.85219391011432	230.497433805683	89.10028692619794	94.18327913111585	5.082992204917915	55.61299931059585	56.42182430286403	6.781723250102386
